,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,708.5838967,0.299396331,0.168593872,0.028631323,0.136383384
ENSG00000000419,520.283304,-0.181918631,0.09684279,0.042263134,0.177655823
ENSG00000000457,237.1568223,-0.027480783,0.113694439,0.787123352,0.927515768
ENSG00000000460,57.93123703,0.050718445,0.200278134,0.697652212,0.891163021
ENSG00000000971,5817.191196,-0.265478942,0.236255729,0.088625863,0.293579082
ENSG00000001036,1282.073674,0.208718971,0.114916653,0.042888731,0.179389867
ENSG00000001084,609.8803239,0.016819986,0.173251734,0.898335348,0.969175841
ENSG00000001167,369.3321915,0.369260119,0.211002178,0.020277322,0.105840389
ENSG00000001460,183.2323049,0.097099357,0.143247775,0.41885527,0.711723967
ENSG00000001461,2813.790039,0.019511811,0.194462468,0.883543533,0.962836583
ENSG00000001497,539.8090129,0.002243087,0.091437005,0.97986964,0.994559267
ENSG00000001561,114.0365851,-0.021957775,0.250291032,0.755110785,0.915530092
ENSG00000001617,598.6523363,0.183732062,0.155759416,0.148103208,0.40379019
ENSG00000001626,5.764796392,0.186693272,0.324549742,0.097977738,0.313219407
ENSG00000001629,1779.780249,0.188394857,0.124339994,0.08535572,0.286380502
ENSG00000001630,54.72565927,-0.005004493,0.19652077,0.967579683,0.990818847
ENSG00000001631,785.4304664,0.031444836,0.099571349,0.735590111,0.907894569
ENSG00000002016,183.8548597,0.24406062,0.15281835,0.054891084,0.213770802
ENSG00000002079,1.427706431,0.055203905,0.2649938,0.193793365,NA
ENSG00000002330,178.0515339,-0.069132335,0.128008718,0.534228029,0.794096427
ENSG00000002549,1253.601858,-0.131276236,0.147677515,0.281716026,0.582571772
ENSG00000002586,8285.223746,-0.073066088,0.111727804,0.470710369,0.750229591
ENSG00000002745,6.899744737,0.01894265,0.252212186,0.770807333,0.92167176
ENSG00000002746,108.4387974,-0.049179913,0.198469216,0.704119553,0.894379439
ENSG00000002822,349.7970257,0.127815722,0.12253751,0.237757774,0.532865543
ENSG00000002834,7168.645835,-0.370254505,0.102183808,9.54E-05,0.001446436
ENSG00000002919,250.5019566,-0.332759468,0.1455493,0.007651178,0.050726408
ENSG00000002933,540.252241,-0.01240845,0.2562486,0.777092917,0.923971054
ENSG00000003056,1065.241563,0.063808415,0.086561026,0.434632384,0.723942101
ENSG00000003096,377.9663787,0.851206391,0.192556645,8.57E-07,2.36E-05
ENSG00000003137,104.5132193,0.321913636,0.485279518,0.036454574,0.16096698
ENSG00000003249,116.3467941,0.136738825,0.227279065,0.318477575,0.622020075
ENSG00000003393,851.0712686,-0.130671149,0.140483078,0.27069894,0.570070946
ENSG00000003400,80.15550439,0.139597045,0.243544212,0.294968107,0.596964771
ENSG00000003402,2546.550541,-1.140175375,0.165970578,4.49E-13,5.24E-11
ENSG00000003436,4469.411598,0.142189251,0.164959124,0.274933804,0.574838514
ENSG00000003509,290.8070128,0.043273142,0.112137772,0.669869074,0.87575715
ENSG00000003756,2117.404884,0.169214523,0.087670658,0.039774322,0.169990892
ENSG00000003987,25.50388987,-0.76079842,0.36080666,0.002504945,0.021620813
ENSG00000003989,38.43779445,-0.091530553,0.263054147,0.315752157,0.618698013
ENSG00000004059,1225.318596,-0.339704385,0.103474244,0.000377575,0.004656585
