"","gene_id","gene_name","entrezid","gene_biotype","gene_seq_start","gene_seq_end","seq_name","seq_strand","seq_coord_system","symbol","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003","ENSG00000000003","TSPAN6",NA,"protein_coding",99883667,99894988,"X",-1,NA,"TSPAN6",679,448,873,408,1138,1047,770,572
"ENSG00000000005","ENSG00000000005","TNMD",NA,"protein_coding",99839799,99854882,"X",1,NA,"TNMD",0,0,0,0,0,0,0,0
"ENSG00000000419","ENSG00000000419","DPM1",NA,"protein_coding",49551404,49575092,"20",-1,NA,"DPM1",467,515,621,365,587,799,417,508
"ENSG00000000457","ENSG00000000457","SCYL3",NA,"protein_coding",169818772,169863408,"1",-1,NA,"SCYL3",260,211,263,164,245,331,233,229
"ENSG00000000460","ENSG00000000460","C1orf112",NA,"protein_coding",169631245,169823221,"1",1,NA,"C1orf112",60,55,40,35,78,63,76,60
"ENSG00000000938","ENSG00000000938","FGR",NA,"protein_coding",27938575,27961788,"1",-1,NA,"FGR",0,0,2,0,1,0,0,0
"ENSG00000000971","ENSG00000000971","CFH",NA,"protein_coding",196621008,196716634,"1",1,NA,"CFH",3251,3679,6177,4252,6721,11027,5176,7995
"ENSG00000001036","ENSG00000001036","FUCA2",NA,"protein_coding",143815948,143832827,"6",-1,NA,"FUCA2",1433,1062,1733,881,1424,1439,1359,1109
"ENSG00000001084","ENSG00000001084","GCLC",NA,"protein_coding",53362139,53481768,"6",-1,NA,"GCLC",519,380,595,493,820,714,696,704
"ENSG00000001167","ENSG00000001167","NFYA",NA,"protein_coding",41040684,41067715,"6",1,NA,"NFYA",394,236,464,175,658,584,360,269
"ENSG00000001460","ENSG00000001460","STPG1",NA,"protein_coding",24683489,24743424,"1",-1,NA,"STPG1",172,168,264,118,241,210,155,177
"ENSG00000001461","ENSG00000001461","NIPAL3",NA,"protein_coding",24742284,24799466,"1",1,NA,"NIPAL3",2112,1867,5137,2657,2735,2751,2467,2905
"ENSG00000001497","ENSG00000001497","LAS1L",NA,"protein_coding",64732462,64754655,"X",-1,NA,"LAS1L",524,488,638,357,676,806,493,475
