GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0007267	cell-cell signaling	852	114	56.8	7.8e-08
GO:0007411	axon guidance	171	34	11.4	2.0e-06
GO:0031069	hair follicle morphogenesis	20	9	1.33	2.1e-06
GO:0051965	positive regulation of synapse assembly	43	13	2.87	2.6e-06
GO:0060045	positive regulation of cardiac muscle ce...	21	9	1.4	3.5e-06
GO:0007155	cell adhesion	1079	112	71.93	6.3e-06
GO:0007189	adenylate cyclase-activating G protein-c...	92	17	6.13	4.3e-05
GO:0021696	cerebellar cortex morphogenesis	31	7	2.07	6.1e-05
GO:0050680	negative regulation of epithelial cell p...	106	16	7.07	7.4e-05
GO:0042246	tissue regeneration	57	10	3.8	7.5e-05
GO:0030198	extracellular matrix organization	254	38	16.93	7.7e-05
GO:0019229	regulation of vasoconstriction	43	10	2.87	9.7e-05
GO:0071542	dopaminergic neuron differentiation	25	7	1.67	0.00013
GO:0032793	positive regulation of CREB transcriptio...	9	5	0.6	0.00013
GO:0060349	bone morphogenesis	80	17	5.33	0.00013
GO:0042474	middle ear morphogenesis	19	7	1.27	0.00014
GO:0007613	memory	93	18	6.2	0.00015
GO:0001974	blood vessel remodeling	39	10	2.6	0.00018
GO:0006959	humoral immune response	107	17	7.13	0.00020
GO:0090190	positive regulation of branching involve...	15	6	1	0.00026
GO:0035295	tube development	865	96	57.66	0.00026
GO:0031954	positive regulation of protein autophosp...	6	4	0.4	0.00026
GO:0060947	cardiac vascular smooth muscle cell diff...	6	4	0.4	0.00026
GO:0140467	integrated stress response signaling	49	9	3.27	0.00029
GO:0048146	positive regulation of fibroblast prolif...	49	11	3.27	0.00030
GO:0016331	morphogenesis of embryonic epithelium	119	14	7.93	0.00038
GO:0042573	retinoic acid metabolic process	16	6	1.07	0.00039
GO:0006954	inflammatory response	591	76	39.4	0.00042
GO:0002686	negative regulation of leukocyte migrati...	37	10	2.47	0.00057
GO:0045655	regulation of monocyte differentiation	15	6	1	0.00058
GO:0019755	one-carbon compound transport	7	4	0.47	0.00058
GO:0033081	regulation of T cell differentiation in ...	18	6	1.2	0.00069
GO:0071300	cellular response to retinoic acid	46	10	3.07	0.00074
GO:0045747	positive regulation of Notch signaling p...	31	8	2.07	0.00075
GO:0086012	membrane depolarization during cardiac m...	18	6	1.2	0.00080
GO:0007200	phospholipase C-activating G protein-cou...	71	14	4.73	0.00092
GO:0043410	positive regulation of MAPK cascade	326	44	21.73	0.00104
GO:0048663	neuron fate commitment	35	9	2.33	0.00109
GO:0003416	endochondral bone growth	25	6	1.67	0.00110
GO:0046697	decidualization	19	6	1.27	0.00110
GO:0061343	cell adhesion involved in heart morphoge...	8	4	0.53	0.00110
GO:0001525	angiogenesis	432	55	28.8	0.00132
GO:0043065	positive regulation of apoptotic process	435	51	29	0.00136
GO:0007204	positive regulation of cytosolic calcium...	84	14	5.6	0.00141
