GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0007155	cell adhesion	1079	139	73.41	1.5e-06
GO:0001525	angiogenesis	432	64	29.39	9.2e-06
GO:0030335	positive regulation of cell migration	447	59	30.41	1.1e-05
GO:0001937	negative regulation of endothelial cell ...	31	10	2.11	2.4e-05
GO:0044320	cellular response to leptin stimulus	14	7	0.95	1.0e-04
GO:2001046	positive regulation of integrin-mediated...	13	6	0.88	0.00011
GO:0035914	skeletal muscle cell differentiation	59	14	4.01	0.00011
GO:0071456	cellular response to hypoxia	125	22	8.5	0.00020
GO:0007160	cell-matrix adhesion	198	32	13.47	0.00023
GO:0014823	response to activity	66	12	4.49	0.00026
GO:0006534	cysteine metabolic process	10	5	0.68	0.00027
GO:0008544	epidermis development	226	31	15.38	0.00028
GO:0006072	glycerol-3-phosphate metabolic process	6	4	0.41	0.00029
GO:0046476	glycosylceramide biosynthetic process	6	4	0.41	0.00029
GO:0019432	triglyceride biosynthetic process	31	7	2.11	0.00029
GO:0036018	cellular response to erythropoietin	10	4	0.68	0.00031
GO:0009410	response to xenobiotic stimulus	289	34	19.66	0.00035
GO:0098609	cell-cell adhesion	669	71	45.52	0.00044
GO:0032924	activin receptor signaling pathway	38	8	2.59	0.00047
GO:0016322	neuron remodeling	11	5	0.75	0.00047
GO:0001886	endothelial cell morphogenesis	11	5	0.75	0.00047
GO:0043627	response to estrogen	44	10	2.99	0.00052
GO:0008217	regulation of blood pressure	117	21	7.96	0.00056
GO:0001666	response to hypoxia	249	41	16.94	0.00057
GO:0035633	maintenance of blood-brain barrier	30	8	2.04	0.00061
GO:0034765	regulation of monoatomic ion transmembra...	195	21	13.27	0.00062
GO:0010273	detoxification of copper ion	7	4	0.48	0.00063
GO:0009725	response to hormone	677	90	46.06	0.00068
GO:0045926	negative regulation of growth	175	21	11.91	0.00074
GO:2000303	regulation of ceramide biosynthetic proc...	12	5	0.82	0.00076
GO:0001502	cartilage condensation	12	5	0.82	0.00076
GO:2000134	negative regulation of G1/S transition o...	55	10	3.74	0.00081
GO:0045666	positive regulation of neuron differenti...	62	12	4.22	0.00083
GO:0007411	axon guidance	171	25	11.63	0.00086
GO:0007186	G protein-coupled receptor signaling pat...	463	50	31.5	0.00091
GO:0008285	negative regulation of cell population p...	519	60	35.31	0.00094
GO:0032355	response to estradiol	83	14	5.65	0.00101
GO:0010460	positive regulation of heart rate	13	5	0.88	0.00117
GO:0033344	cholesterol efflux	45	7	3.06	0.00117
GO:0009065	glutamine family amino acid catabolic pr...	14	6	0.95	0.00118
GO:0035330	regulation of hippo signaling	44	6	2.99	0.00119
GO:0010882	regulation of cardiac muscle contraction...	24	4	1.63	0.00119
GO:0110011	regulation of basement membrane organiza...	8	4	0.54	0.00119
GO:0000098	sulfur amino acid catabolic process	8	4	0.54	0.00119
GO:0032332	positive regulation of chondrocyte diffe...	19	6	1.29	0.00123
GO:0048812	neuron projection morphogenesis	506	51	34.43	0.00127
GO:0042572	retinol metabolic process	33	8	2.25	0.00134
GO:0016055	Wnt signaling pathway	392	42	26.67	0.00148
GO:0019722	calcium-mediated signaling	144	27	9.8	0.00155
GO:0045669	positive regulation of osteoblast differ...	58	11	3.95	0.00161
GO:0061154	endothelial tube morphogenesis	14	5	0.95	0.00172
GO:0016477	cell migration	1169	144	79.53	0.00172
GO:0010888	negative regulation of lipid storage	18	5	1.22	0.00203
GO:0032836	glomerular basement membrane development	9	4	0.61	0.00203
GO:0009155	purine deoxyribonucleotide catabolic pro...	9	4	0.61	0.00203
GO:1990859	cellular response to endothelin	9	4	0.61	0.00203
GO:0098911	regulation of ventricular cardiac muscle...	9	4	0.61	0.00203
GO:0006936	muscle contraction	240	42	16.33	0.00208
GO:0006882	intracellular zinc ion homeostasis	21	6	1.43	0.00218
GO:0007015	actin filament organization	379	53	25.79	0.00221
GO:0001938	positive regulation of endothelial cell ...	75	12	5.1	0.00245
GO:0071692	protein localization to extracellular re...	274	27	18.64	0.00277
GO:0045766	positive regulation of angiogenesis	128	17	8.71	0.00279
GO:0061333	renal tubule morphogenesis	57	9	3.88	0.00280
GO:0045185	maintenance of protein location	58	8	3.95	0.00281
GO:1903670	regulation of sprouting angiogenesis	36	6	2.45	0.00282
GO:0043501	skeletal muscle adaptation	11	4	0.75	0.00282
GO:0060391	positive regulation of SMAD protein sign...	37	8	2.52	0.00292
GO:0006112	energy reserve metabolic process	83	15	5.65	0.00312
GO:0035567	non-canonical Wnt signaling pathway	60	9	4.08	0.00318
GO:0071498	cellular response to fluid shear stress	31	6	2.11	0.00320
GO:0038063	collagen-activated tyrosine kinase recep...	10	4	0.68	0.00321
GO:2000035	regulation of stem cell division	10	4	0.68	0.00321
GO:0031987	locomotion involved in locomotory behavi...	10	4	0.68	0.00321
GO:0061469	regulation of type B pancreatic cell pro...	10	4	0.68	0.00321
GO:0045603	positive regulation of endothelial cell ...	10	4	0.68	0.00321
GO:0035360	positive regulation of peroxisome prolif...	10	4	0.68	0.00321
GO:0071280	cellular response to copper ion	16	5	1.09	0.00334
GO:0019433	triglyceride catabolic process	16	5	1.09	0.00334
GO:0030511	positive regulation of transforming grow...	30	7	2.04	0.00336
GO:0043491	phosphatidylinositol 3-kinase/protein ki...	261	27	17.76	0.00338
GO:0043410	positive regulation of MAPK cascade	326	37	22.18	0.00340
GO:0046627	negative regulation of insulin receptor ...	38	8	2.59	0.00348
GO:0010628	positive regulation of gene expression	896	77	60.96	0.00426
GO:0071385	cellular response to glucocorticoid stim...	43	11	2.93	0.00438
GO:0030041	actin filament polymerization	131	17	8.91	0.00444
GO:0090287	regulation of cellular response to growt...	263	33	17.89	0.00448
GO:0002931	response to ischemia	48	9	3.27	0.00453
GO:0035929	steroid hormone secretion	18	5	1.22	0.00460
GO:0010573	vascular endothelial growth factor produ...	27	5	1.84	0.00461
GO:0010226	response to lithium ion	11	3	0.75	0.00462
GO:0017145	stem cell division	30	9	2.04	0.00469
GO:0046325	negative regulation of D-glucose import	11	4	0.75	0.00477
GO:0098974	postsynaptic actin cytoskeleton organiza...	11	4	0.75	0.00477
GO:0034332	adherens junction organization	46	9	3.13	0.00490
GO:0043066	negative regulation of apoptotic process	670	67	45.58	0.00513
GO:0006955	immune response	1178	81	80.15	0.00529
GO:0042634	regulation of hair cycle	19	4	1.29	0.00537
GO:0072592	oxygen metabolic process	6	3	0.41	0.00537
GO:0035912	dorsal aorta morphogenesis	6	3	0.41	0.00537
GO:0046884	follicle-stimulating hormone secretion	6	3	0.41	0.00537
GO:1901724	positive regulation of cell proliferatio...	6	3	0.41	0.00537
GO:0014722	regulation of skeletal muscle contractio...	6	3	0.41	0.00537
GO:0014889	muscle atrophy	6	3	0.41	0.00537
GO:0090155	negative regulation of sphingolipid bios...	6	3	0.41	0.00537
GO:0010746	regulation of long-chain fatty acid impo...	6	3	0.41	0.00537
GO:2000833	positive regulation of steroid hormone s...	6	3	0.41	0.00537
GO:2000279	negative regulation of DNA biosynthetic ...	27	4	1.84	0.00538
GO:0035987	endodermal cell differentiation	41	8	2.79	0.00568
GO:0021762	substantia nigra development	41	8	2.79	0.00568
GO:0097009	energy homeostasis	62	9	4.22	0.00570
GO:0043149	stress fiber assembly	102	15	6.94	0.00573
GO:0050767	regulation of neurogenesis	277	25	18.85	0.00578
GO:0038166	angiotensin-activated signaling pathway	18	5	1.22	0.00586
GO:0014842	regulation of skeletal muscle satellite ...	12	4	0.82	0.00677
GO:0030502	negative regulation of bone mineralizati...	12	4	0.82	0.00677
GO:0071549	cellular response to dexamethasone stimu...	26	6	1.77	0.00691
GO:0045471	response to ethanol	79	13	5.37	0.00720
GO:0007229	integrin-mediated signaling pathway	94	18	6.4	0.00774
GO:0007519	skeletal muscle tissue development	135	26	9.18	0.00811
GO:0045214	sarcomere organization	35	7	2.38	0.00826
GO:0030501	positive regulation of bone mineralizati...	35	7	2.38	0.00826
GO:0001819	positive regulation of cytokine producti...	346	29	23.54	0.00832
GO:0003180	aortic valve morphogenesis	27	6	1.84	0.00839
GO:0007565	female pregnancy	145	21	9.87	0.00847
GO:0046337	phosphatidylethanolamine metabolic proce...	24	6	1.63	0.00887
GO:0072540	T-helper 17 cell lineage commitment	16	4	1.09	0.00891
